Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
ABT,Abbott Laboratories,108.09,0.14824423,0.16,Buy,4944080,534405607.2,188462878140.99997,24.34255041,4.4673,113000,Health Technology
DIS,Walt Disney Company (The),99.43,0.85201339,0.84,Buy,12608068,1253620201.24,181319757195,57.22992976,1.7266,220000,Consumer Services
NKE,"Nike, Inc.",112.2,0.98100981,1.09,Buy,5891969,661078921.8000001,175557960118,31.55458366,3.5812,79100,Consumer Non-Durables
WFC,Wells Fargo & Company,45.94,-1.98421165,-0.93,Sell,29820376,1369948073.4399998,175053949782,12.17529094,3.8827,247848,Finance
BMY,Bristol-Myers Squibb Company,81.13,0.3090999,0.25,Buy,6366693,516529803.09,172495367637,26.35901447,3.0919,32200,Health Technology
NEE,"NextEra Energy, Inc.",85.2,0.43616645,0.37,Strong Buy,6316947,538203884.4,169306330458.99997,43.80357327,1.9458,15000,Utilities
LIN,Linde plc,337.35,0.02668564,0.09,Buy,1200752,405073687.2000001,166778932943,44.61524215,7.6247,72327,Process Industries
UPS,"United Parcel Service, Inc.",189.39,-0.420632,-0.8,Buy,3661709,693491067.51,163788434051,14.90318688,12.8308,534000,Transportation
PM,Philip Morris International Inc,104.3,1.79582276,1.84,Strong Buy,5847286,609871929.8,161686101545.00003,18.2501514,5.6197,69600,Consumer Non-Durables
TXN,Texas Instruments Incorporated,177.66,0.09014085,0.16,Buy,3822916,679179256.56,161239194442.99997,18.58891786,9.66,31000,Electronic Technology
VZ,Verizon Communications Inc.,38.18,-0.39133838,-0.15,Sell,21677142,827633281.56,160349028957,8.33387689,4.6009,118400,Communications
ADBE,Adobe Inc.,341.53,-0.74976025,-2.58,Buy,2741993,936472869.29,158777294348,33.91348911,10.1848,25988,Technology Services
MS,Morgan Stanley,92.1,-0.96774194,-0.9,Buy,5198046,478740036.6,155659070859,13.50193818,6.9883,74814,Finance
CMCSA,Comcast Corporation,35.86,-1.15766262,-0.42,Buy,25809062,925512963.32,155037439713,31.58902917,1.1724,189000,Consumer Services
SCHW,Charles Schwab Corporation (The),82.46,0.89318488,0.73,Strong Buy,4227039,348561635.94,153931318994,24.7899542,3.3103,33400,Finance
AMGN,Amgen Inc.,285.51,-0.1503812,-0.43,Buy,2267114,647283718.14,152342191924,22.91993972,12.5397,24200,Health Technology
COP,ConocoPhillips,122.18,-0.71509833,-0.88,Sell,4879727,596205044.86,152244975563,8.83372695,13.986,9900,Energy Minerals
RTX,Raytheon Technologies Corporation,101.01,1.51758794,1.51,Strong Buy,4339654,438348450.54,148490843641,33.23313293,3.0144,174000,Electronic Technology
HON,Honeywell International Inc.,219.08,0.77740466,1.69,Buy,2194258,480718042.6400001,147292363184,27.80883425,7.8904,99000,Producer Manufacturing
CRM,"Salesforce, Inc.",144.56,-1.65986395,-2.44,Sell,15086545,2180910945.2,144559997559,529.72972973,0.2787,73541,Technology Services
NFLX,"Netflix, Inc.",320.41,1.09165484,3.46,Strong Buy,12690329,4066108314.89,142589022538,28.38807334,11.3507,11300,Technology Services
QCOM,QUALCOMM Incorporated,125.66,-0.90686854,-1.15,Buy,6122172,769312133.52,140864864104.99997,11.14813187,11.5171,51000,Electronic Technology
T,AT&T Inc.,19.02,-0.88587806,-0.17,Buy,33479648,636782904.96,135555543261.99995,7.11109464,2.764,203000,Communications
CVS,CVS Health Corporation,102.58,0.91490408,0.93,Strong Buy,4479111,459467206.38,134786728951.00002,43.12319701,2.3999,300000,Retail Trade
DE,Deere & Company,445.61,0.86009823,3.8,Buy,1471215,655588116.15,134493832256.00002,18.93668911,23.4613,,Producer Manufacturing
IBM,International Business Machines Corporation,148.67,-0.3285063,-0.49,Buy,2899995,431142256.65,134416470799,108.74097835,1.4204,307600,Technology Services
UNP,Union Pacific Corporation,214.73,-0.55573566,-1.2,Buy,1759997,377924155.81,132016182237,19.25556675,11.2377,29905,Transportation
LMT,Lockheed Martin Corporation,496.23,2.59256962,12.54,Buy,1744461,865653882.0300001,130048971300,22.21512883,21.8513,114000,Electronic Technology
LOW,"Lowe's Companies, Inc.",214.84,-0.29701132,-0.64,Strong Buy,3242449,696607743.16,129914299145.00002,21.11803677,10.2303,340000,Retail Trade
GS,"Goldman Sachs Group, Inc. (The)",380.58,-0.84156223,-3.23,Buy,1932505,735472752.9,128877544868,10.22122327,38.1415,43900,Finance
ELV,"Elevance Health, Inc.",523.6,-0.31413613,-1.65,Buy,630287,330018273.2,125050112797,20.60733272,25.8004,98200,Health Services
CAT,"Caterpillar, Inc.",236.13,0.1866859,0.44,Buy,2218271,523800331.23,122884265377.00002,17.12465124,13.8493,107700,Producer Manufacturing
INTC,Intel Corporation,29.41,-1.40797855,-0.42,Sell,31545955,927766536.55,121375069370,9.20508548,3.2618,121100,Electronic Technology
AMD,"Advanced Micro Devices, Inc.",74.98,-3.22663913,-2.5,Buy,64376323,4826936698.54,120894464223.99998,46.42300779,1.6877,15500,Electronic Technology
SBUX,Starbucks Corporation,105.05,1.62522976,1.68,Strong Buy,7916878,831668033.9,120576398631.99998,36.48524636,2.8456,402000,Consumer Services
SPGI,S&P Global Inc.,359.8,-0.76672734,-2.78,Strong Buy,2026443,729114191.4,117222831630.99998,30.31605351,12.0089,22850,Commercial Services
AXP,American Express Company,156.75,-0.47619048,-0.75,Buy,2285397,358235979.75,117128720398,15.82501055,9.9658,64000,Finance
INTU,Intuit Inc.,407.92,-1.95880501,-8.15,Buy,1876030,765270157.6,114595074177.00002,63.39244904,6.6588,17300,Technology Services
ADP,"Automatic Data Processing, Inc.",269.9,0.72774771,1.95,Strong Buy,1806964,487699583.6,111962017802.00002,37.11630098,7.2575,60000,Technology Services
GILD,"Gilead Sciences, Inc.",89.03,1.28555176,1.13,Buy,6730367,599204574.01,111665332573.00002,33.24005445,2.6556,14400,Health Technology
PDD,Pinduoduo Inc.,86.34,3.10484834,2.6,Buy,15641368,1350475713.1200001,109167061025,27.65795819,3.439,9762,Retail Trade
BA,Boeing Company (The),182.87,4.0334509,7.09,Buy,10563839,1931809237.93,108987447677.99998,,-14.25,142000,Electronic Technology
BLK,"BlackRock, Inc.",712.98,-1.27392063,-9.2,Buy,1142864,814839174.72,107086435919,19.89482065,36.7377,18400,Finance
MDT,Medtronic plc.,79.62,0.46687697,0.37,Sell,6339518,504752423.16,105908939530,24.63551867,3.2316,95000,Health Technology
BX,Blackstone Inc.,85.16,0.14111007,0.12,Sell,13587566,1157117120.56,102131498194.00002,24.01106813,3.5438,3795,Finance
CI,Cigna Corporation,327.2,1.15937548,3.75,Buy,1301272,425776198.4,100037809006,15.45330327,21.1706,73700,Health Services
ISRG,"Intuitive Surgical, Inc.",272.25,-0.81605887,-2.24,Buy,1629271,443569029.75,96208944283,72.66446062,3.8562,9793,Health Technology
GE,General Electric Company,86.88,1.90007037,1.62,Buy,4480434,389260105.9199999,94931000729,,-5.3687,168000,Producer Manufacturing
MDLZ,"Mondelez International, Inc.",68.31,0.32310178,0.22,Strong Buy,3798399,259468635.69,93285398469.00002,30.27433196,2.2623,79000,Consumer Non-Durables
TJX,"TJX Companies, Inc. (The)",80.19,0.56433409,0.45,Buy,4776816,383052875.04,92659880641,27.80334728,,340000,Retail Trade
SYK,Stryker Corporation,243.11,0.97188188,2.34,Strong Buy,1192116,289815320.76,92000100912,37.45993714,6.5003,46000,Health Technology
AMAT,"Applied Materials, Inc.",106.71,-0.28034763,-0.3,Buy,3903370,416528612.7,91803613920.99998,14.39196277,7.487,,Producer Manufacturing
C,"Citigroup, Inc.",47.24,-1.13017999,-0.54,Sell,12745449,602095010.76,91496934496,6.54592284,7.3435,223400,Finance
CB,Chubb Limited,219.16,0.38475632,0.84,Buy,1109669,243195058.04,90962423727,15.21892188,14.4553,31000,Finance
MMC,"Marsh & McLennan Companies, Inc.",173.91,0.50858233,0.88,Strong Buy,1321092,229751109.72,86261012390,25.93336431,6.749,83000,Finance
ADI,"Analog Devices, Inc.",168.63,-1.6620014,-2.85,Buy,3055210,515200062.3,85882574986,32.53396069,5.3091,24450,Electronic Technology
MO,"Altria Group, Inc.",47.63,1.31886833,0.62,Buy,7653654,364543540.0200001,85361183206,18.25985628,2.5788,6000,Consumer Non-Durables
EL,"Estee Lauder Companies, Inc. (The)",239.01,3.03931712,7.05,Buy,2002576,478635689.76,85281711405,38.63295693,6.0822,63000,Consumer Non-Durables
PYPL,"PayPal Holdings, Inc.",74.66,-4.92805297,-3.87,Strong Sell,24238337,1809634240.42,85114473001,39.93592352,1.9786,30900,Commercial Services
NOC,Northrop Grumman Corporation,545.6,2.88515934,15.3,Strong Buy,843649,460294894.4,83974468093,15.13175729,35.1997,88000,Electronic Technology
NOW,"ServiceNow, Inc.",412.87,-2.99107143,-12.73,Buy,1244925,513992184.75,83564884492,430.07275667,1.001,16881,Technology Services
REGN,"Regeneron Pharmaceuticals, Inc.",766.39,0.67652777,5.15,Strong Buy,441486,338350455.54,83447446356.00002,16.04772746,50.3088,10368,Health Technology
VRTX,Vertex Pharmaceuticals Incorporated,321.37,0.19017334,0.61,Buy,1094882,351862228.34000003,82492935587.99998,25.31609604,12.8071,3900,Health Technology
EOG,"EOG Resources, Inc.",138.97,-1.11711968,-1.57,Neutral,3932546,546505917.62,81629523195.99998,11.04283873,12.8208,2800,Energy Minerals
PGR,Progressive Corporation (The),132.51,0.9523084,1.25,Strong Buy,1253232,166065772.32,77527583018,92.8945506,1.421,49077,Finance
DUK,Duke Energy Corporation (Holding Company),99.52,-0.78755857,-0.79,Buy,2097709,208763999.67999995,76636641712,20.1826925,4.9701,27605,Utilities
TGT,Target Corporation,164.16,-0.52717688,-0.87,Neutral,3442958,565195985.28,75564505914,22.59508749,7.3609,450000,Retail Trade
SLB,Schlumberger N.V.,52.79,1.98995363,1.03,Buy,9378605,495096557.95,74855892649.99998,24.95540234,2.1074,92000,Industrial Services
ZTS,Zoetis Inc.,157.42,0.4979571,0.78,Buy,1946139,306361201.38,73369051965,35.80261023,4.3915,12100,Health Technology
SO,Southern Company (The),67.34,-0.56113408,-0.38,Neutral,4003735,269611514.90000004,73311225837.00002,21.46162135,3.1751,27300,Utilities
BAM,Brookfield Asset Management Inc.,45.13,-3.42392467,-1.6,Neutral,2774804,125226904.52000003,73103803522.2889,24.66503296,1.95875182,180000,Finance
BDX,"Becton, Dickinson and Company",252.38,0.61794841,1.55,Buy,1342753,338884002.14,71518384136,41.87339321,6.0319,77000,Health Technology
APD,"Air Products and Chemicals, Inc.",318.44,2.0510191,6.4,Strong Buy,1314153,418478881.32,70650999008,30.95020829,10.1058,21900,Process Industries
GD,General Dynamics Corporation,255.74,1.37551037,3.47,Buy,1059131,270862161.94,70213157836,21.00482094,12.1211,103100,Electronic Technology
MMM,3M Company,126.99,0.79371379,1,Neutral,1821877,231360160.23,70192822220.00002,10.97999913,11.52,95000,Producer Manufacturing
ITW,Illinois Tool Works Inc.,228.29,0.37813833,0.86,Buy,850515,194164069.35,70127574539,25.96173603,8.7907,45000,Producer Manufacturing
MRNA,"Moderna, Inc.",182.35,0.47939167,0.87,Buy,2765421,504274519.35,70055313047,6.56247514,29.3391,2700,Health Technology
WM,"Waste Management, Inc.",169.81,1.1857943,1.99,Strong Buy,1374018,233321996.58,69703112173,31.17592421,5.4124,48500,Industrial Services
HUM,Humana Inc.,546.78,-0.28995022,-1.59,Buy,516958,282662295.24,69222526082,24.87299744,22.16,96900,Health Services
USB,U.S. Bancorp,45.64,0.63947078,0.29,Buy,10786767,492308045.88,67812983009.00001,10.81512926,4.1953,68796,Finance
HCA,"HCA Healthcare, Inc.",239.03,0.23483038,0.56,Buy,803364,192028096.92,67577766432.99999,13.46816369,17.9631,284000,Health Services
CSX,CSX Corporation,32.05,-1.92778458,-0.63,Buy,11178543,358272303.15,67382196956,17.38112967,1.8844,20900,Transportation
FISV,"Fiserv, Inc.",105.46,0.40940684,0.43,Strong Buy,2881656,303899441.76,66970060332,32.98577306,3.2139,44000,Finance
SHW,Sherwin-Williams Company (The),257.75,2.44028457,6.14,Strong Buy,1769375,456056406.25,66794219756.99999,33.97839298,7.4946,61000,Process Industries
BSX,Boston Scientific Corporation,46.6,1.04076323,0.48,Strong Buy,7148116,333102205.6,66745703429.99999,111.10575765,0.4177,41000,Distribution Services
PNC,"PNC Financial Services Group, Inc. (The)",164.23,-0.34587379,-0.57,Buy,1569945,257832067.35,66237082699,12.43173109,13.2564,59426,Finance
CL,Colgate-Palmolive Company,78.17,0.54019293,0.42,Strong Buy,2797099,218649228.83,65288690324,33.90606602,2.3008,33800,Consumer Non-Durables
ETN,"Eaton Corporation, PLC",163.31,-0.03060725,-0.05,Buy,1861653,304026551.43,64948388022.99999,28.60645116,5.7438,85947,Producer Manufacturing
ABNB,"Airbnb, Inc.",101,-0.266614,-0.27,Neutral,4128629,416991529,63941668443,42.3670669,2.5516,6132,Consumer Services
CME,CME Group Inc.,176.63,-0.7138842,-1.27,Neutral,3193424,564054481.12,63538334588,24.20210595,7.386,3480,Finance
AON,Aon plc,306.78,1.22413964,3.71,Strong Buy,807606,247757368.67999995,63458343389,23.52772214,12.9701,50000,Finance
LRCX,Lam Research Corporation,457.67,-1.18106836,-5.47,Neutral,1102371,504522135.57,62416738376.00001,13.28178995,35.0121,17700,Producer Manufacturing
OXY,Occidental Petroleum Corporation,68.21,-0.85755814,-0.59,Sell,9092363,620190080.2299999,61997031534.00001,5.7317571,12.8709,11678,Energy Minerals
CHTR,"Charter Communications, Inc.",392.69,0.90708192,3.53,Buy,939924,369098755.56,61130951150,12.16197212,32.6834,93700,Consumer Services
ICE,Intercontinental Exchange Inc.,109.25,-0.25563772,-0.28,Buy,1171966,128037285.5,61021766205,24.25215331,4.5405,8858,Finance
MET,"MetLife, Inc.",76.91,0.33920417,0.26,Buy,2438546,187548572.86,60344065804.99999,28.80604307,2.6998,43000,Finance
TFC,Truist Financial Corporation,45.06,-2.50973605,-1.16,Sell,9505058,428297913.48,59784088387.00001,10.60334939,4.3954,52641,Finance
MU,"Micron Technology, Inc.",54.68,-1.45972247,-0.81,Strong Sell,15946484,871953745.12,59446378237.00001,7.17397769,7.8047,48000,Electronic Technology
ATVI,"Activision Blizzard, Inc",75.76,0.75807953,0.57,Buy,6146920,465690659.2000001,59291694792.00001,35.29384153,2.1448,9800,Technology Services
NSC,Norfolk Southern Corporation,254.07,-0.89327508,-2.29,Buy,1127603,286490094.21,58820819874,18.86928552,13.6383,18100,Transportation
FCX,"Freeport-McMoRan, Inc.",40.22,1.64265858,0.65,Strong Buy,15008702,603649994.4399999,57487544565,15.01024202,2.6564,24700,Non-Energy Minerals
UBER,"Uber Technologies, Inc.",28.75,1.44671842,0.41,Buy,15980529,459440208.75,57339211273,,-4.5077,29300,Transportation
EMR,Emerson Electric Company,96.87,1.28607277,1.23,Buy,3736504,361955142.48,57288921989,17.6538994,5.4478,85500,Producer Manufacturing
PXD,Pioneer Natural Resources Company,239.41,0.14221776,0.34,Sell,1656639,396615942.99,56883515124,8.52725068,29.423,1932,Energy Minerals
GM,General Motors Company,39.9,-1.31090774,-0.53,Buy,9224083,368040911.7,56685803584,6.86312788,5.9365,157000,Consumer Durables
F,Ford Motor Company,13.86,-1.5625,-0.22,Neutral,42416488,587892523.68,55726097985,6.36585586,2.2555,183000,Consumer Durables
MPC,Marathon Petroleum Corporation,118.23,-1.66347833,-2,Sell,3889225,459823071.75,55409774833.00001,5.27861684,22.9335,17700,Energy Minerals
MCO,Moody's Corporation,301.73,-1.42119707,-4.35,Strong Buy,479258,144606516.34,55276937092.00001,36.53814015,8.4188,13460,Commercial Services
KLAC,KLA Corporation,389.56,-0.29943951,-1.17,Buy,921415,358946427.4,55207789466.00001,17.64830757,22.2769,14000,Electronic Technology
KDP,Keurig Dr Pepper Inc.,38.74,0.07749935,0.03,Buy,6806343,263677727.82000005,54865574666.99999,30.29425575,1.2879,27500,Consumer Non-Durables
MCK,McKesson Corporation,386.85,1.87769936,7.13,Strong Buy,1052673,407226550.05,54852811523.99999,26.91083818,14.2508,75000,Distribution Services
DG,Dollar General Corporation,243.96,3.22416857,7.62,Sell,5253693,1281690944.28,54543309364,22.97105534,10.3439,163000,Retail Trade
MNST,Monster Beverage Corporation,104.04,0.76513317,0.79,Strong Buy,1687326,175549397.04000002,54282210068,45.59102751,2.292,4092,Consumer Non-Durables
EPD,Enterprise Products Partners L.P.,24.85,0.16122531,0.04,Neutral,3267811,81205103.35000001,54062910962,10.72818473,2.3197,6911,Industrial Services
SNPS,"Synopsys, Inc.",348.17,-2.70232506,-9.67,Buy,1076314,374740245.38,53239145542,56.79098556,6.4334,,Technology Services
MAR,Marriott International,165.63,0.26635995,0.44,Strong Buy,1419335,235084456.05,52428457451,25.2067629,6.5842,120000,Consumer Services
PANW,"Palo Alto Networks, Inc.",172.69,-3.20067265,-5.71,Buy,3272027,565046342.63,52214019600,,-0.4863,12561,Technology Services
SRE,DBA Sempra,165.93,-0.77143882,-1.29,Buy,1086373,180261871.89,52157334448.99999,23.47771148,7.1451,15390,Utilities
GIS,"General Mills, Inc.",86.52,1.28775462,1.1,Strong Buy,3125839,270447590.28,51352701972,17.97142917,4.7959,32500,Consumer Non-Durables
VMW,"Vmware, Inc.",120.84,-0.69033531,-0.84,Buy,629945,76122553.8,51293565559.00001,36.67822155,3.3374,37500,Technology Services
LULU,lululemon athletica inc.,385.99,1.09213766,4.17,Strong Buy,1180775,455767342.25,51224481619.99999,44.71431415,8.568,29000,Retail Trade
PSX,Phillips 66,106.66,-1.2773047,-1.38,Neutral,2675983,285420346.78,50410955667,4.94299361,21.9186,14000,Energy Minerals
D,"Dominion Energy, Inc.",60.47,0.16564519,0.1,Sell,4440836,268537352.92,50388152816,21.74241879,2.801,17100,Utilities
ADM,Archer-Daniels-Midland Company,91.71,0.42706965,0.39,Neutral,3558362,326337379.02,50379441594,12.60525081,7.2802,41000,Process Industries
VLO,Valero Energy Corporation,127.07,-3.75672196,-4.96,Sell,5487993,697359270.51,48988443696,5.63073341,23.4481,9813,Energy Minerals
AEP,"American Electric Power Company, Inc.",95.12,-1.40961857,-1.36,Buy,3491990,332158088.8,48878717363.99999,20.02698495,4.8331,16688,Utilities
KHC,The Kraft Heinz Company,39.83,0.86097746,0.34,Buy,4835750,192607922.5,48788971144,40.15659955,0.9921,36000,Consumer Non-Durables
CNC,Centene Corporation,85.79,-0.02330731,-0.02,Buy,4822570,413728280.3,48579420574.99999,25.04670169,3.4735,72500,Health Services
STZ,"Constellation Brands, Inc.",261.05,0.90058751,2.33,Strong Buy,1169542,305308939.1,48166969224,,0.3585,10000,Consumer Non-Durables
HSY,The Hershey Company,234.73,1.22908401,2.85,Strong Buy,741293,174003705.89,48139031432.00001,30.28498289,10.1379,18990,Consumer Non-Durables
CTVA,"Corteva, Inc.",67.31,1.6,1.06,Buy,1865132,125542034.92,48092455071,35.60296647,1.8735,21000,Process Industries
APH,Amphenol Corporation,80.62,-0.30913812,-0.25,Buy,1340305,108055389.1,47976523728,27.0921273,3.1157,90000,Electronic Technology
SNOW,Snowflake Inc.,149.74,-2.79148273,-4.3,Neutral,6909259,1034592442.66,47916801758.00001,,-2.283,3992,Technology Services
SCCO,Southern Copper Corporation,61.97,0.82980801,0.51,Strong Buy,785379,48669936.63,47908915654,18.49533554,3.323,14700,Non-Energy Minerals
MELI,"MercadoLibre, Inc.",945.07,0.43145131,4.06,Buy,485828,459141467.96,47532196948.99999,176.81178482,5.3715,29957,Retail Trade
EW,Edwards Lifesciences Corporation,76.55,-1.30221764,-1.01,Neutral,3156845,241656484.75,47327843012,33.39361061,2.3465,15700,Health Technology
CDNS,"Cadence Design Systems, Inc.",172.43,-2.4606856,-4.35,Buy,1255349,216459828.07000005,47300307513.00001,62.2179988,2.886,9300,Technology Services
FDX,FedEx Corporation,181.41,0.53200333,0.96,Buy,2060261,373751948.01,47206472621,13.3205873,13.703,249000,Transportation
ROP,"Roper Technologies, Inc.",443.87,-0.19337576,-0.86,Buy,292918,130017512.66,47073325294,41.62774372,10.7831,19300,Technology Services
JCI,Johnson Controls International plc,68.12,1.82361734,1.22,Buy,3895186,265340070.32000005,46778268654.00001,30.42291951,2.2094,102000,Producer Manufacturing
AIG,"American International Group, Inc. New",62.75,-0.55467512,-0.35,Buy,4421988,277479747,46621993774,3.77342694,17.0634,36600,Finance
KMB,Kimberly-Clark Corporation,137.93,0.97364568,1.33,Strong Buy,1932724,266580621.32000005,46550282322,25.89966251,5.2904,45000,Consumer Non-Durables
SHOP,Shopify Inc.,43.06,-0.78341014,-0.34,Buy,30820931,1327149288.8600001,46533115988.99999,,-2.5441,10000,Technology Services
A,"Agilent Technologies, Inc.",155.67,-0.28823982,-0.45,Strong Buy,1183218,184191546.05999997,46084633100,37.39759498,4.2039,,Health Technology
ENPH,"Enphase Energy, Inc.",336,7.00636943,22,Strong Buy,5542054,1862130144,45670324219,151.86689882,2.1914,2260,Electronic Technology
DXCM,"DexCom, Inc.",118.11,0.06777938,0.08,Buy,1883635,222476129.85,45620946514,213.70631903,0.5896,6300,Health Technology
MSI,"Motorola Solutions, Inc.",272.7,0.33850909,0.92,Strong Buy,602546,164314294.2,45596315034,39.93652007,6.9972,18700,Electronic Technology
PAYX,"Paychex, Inc.",125.98,0.06354249,0.08,Strong Buy,1291144,162658321.12,45403269333,31.77688036,3.9887,16000,Technology Services
NTES,"NetEase, Inc.",70.9,3.88278388,2.65,Buy,2102742,149084407.8,45299883565.55433,13.44033084,5.1328,32064,Technology Services
KKR,KKR & Co. Inc.,52.25,-0.57088487,-0.3,Buy,3864364,201913019,44993095596,,-0.5824,3238,Finance
AFL,AFLAC Incorporated,72.34,0.59796968,0.43,Buy,1892294,136888547.96,44980183182,9.18109392,7.867,12447,Finance
DVN,Devon Energy Corporation,68.46,0.26362039,0.18,Sell,8250205,564809034.3,44752302237.00001,7.18880618,9.527,1600,Energy Minerals
TRV,"The Travelers Companies, Inc.",189.54,0.21148356,0.4,Buy,1294888,245433071.52,44418230055,13.81108158,13.8462,30800,Finance
RSG,"Republic Services, Inc.",140.52,0.5509839,0.77,Buy,809939,113812628.28,44404454288,30.50643964,4.5899,35000,Industrial Services
HES,Hess Corporation,144.02,0.45337239,0.65,Buy,1632274,235080101.48,44402587409,23.85166947,6.0334,1545,Energy Minerals
NXPI,NXP Semiconductors N.V.,171.06,-1.37223247,-2.38,Buy,1619959,277110186.54,44327608036,17.27627699,10.1299,31000,Electronic Technology
FIS,"Fidelity National Information Services, Inc.",74.06,1.20251435,0.88,Buy,8741894,647424669.64,43945681031,47.73646445,1.5417,65000,Commercial Services
